date,cusip,maturity_date,maturity_years,spread,index_rate
2026-07-16,91282CLA7,2026-07-31,0.041068,0.1820,3.796079628
2026-07-16,91282CLT6,2026-10-31,0.292950,0.2050,3.796079628
2026-07-16,91282CMJ7,2027-01-31,0.544832,0.0980,3.796079628
2026-07-16,91282CMX6,2027-04-30,0.788501,0.1600,3.796079628
2026-07-16,91282CNQ0,2027-07-31,1.040383,0.1590,3.796079628
2026-07-16,91282CPG0,2027-10-31,1.292266,0.1900,3.796079628
2026-07-16,91282CPX3,2028-01-31,1.544148,0.0990,3.796079628
2026-07-16,91282CQM6,2028-04-30,1.790554,0.1030,3.796079628
